model_file	model_id	species	strain	sha256	source	redistributed	model_name	compartments	metadata_status
Eubacterium_rectale_ERR2221160.xml	M_Eubacterium_rectale_ERR2221160	Agathobacter rectalis	ERR2221160	dd852efdf9a16afa1166f992ae8a87cc1f72ffbf9db7ccb03a8c96d2f961cccb	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR2221160	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR2230060.xml	M_Eubacterium_rectale_ERR2230060	Agathobacter rectalis	ERR2230060	941349db47f0d43b007eab4356267a394a4544362d187e150cc92d444b005e09	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR2230060	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_M104_1.xml	M_Eubacterium_rectale_M104_1	Agathobacter rectalis	M104 1	040ab3bd4902f59066ec022e26c7b36aff951540928a3c588b49d9c5e1f177b2	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale M104 1	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bicirculans_80_3.xml	M_Ruminococcus_bicirculans_80_3	Ruminococcus bicirculans	80 3	23ea1c7d605311640a61aefce3d8f16ecf3570470af391dfcc43a0f0702c0f27	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bicirculans 80 3	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bicirculans_ERR1022350.xml	M_Ruminococcus_bicirculans_ERR1022350	Ruminococcus bicirculans	ERR1022350	27e1b05b5d34deb5758dab23e2b4b26fd7636fa8cc6513c933ce9e77c6b3751a	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bicirculans ERR1022350	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bicirculans_ERR1022408.xml	M_Ruminococcus_bicirculans_ERR1022408	Ruminococcus bicirculans	ERR1022408	5f9ec80c8795d0843c2be9309cb45e62315b7f2de0805af712ee6e8fac0ad298	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bicirculans ERR1022408	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bicirculans_ERR1022485.xml	M_Ruminococcus_bicirculans_ERR1022485	Ruminococcus bicirculans	ERR1022485	ec24918caf346b5a36fa955fe7d7caf61f17b1b1843634dfc6b5ade48497aad4	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bicirculans ERR1022485	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bicirculans_ERR2221172.xml	M_Ruminococcus_bicirculans_ERR2221172	Ruminococcus bicirculans	ERR2221172	37f45928a1d80ab4e4a1644a577cf111942e72bf448c1fe1f210627244d75de1	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bicirculans ERR2221172	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bicirculans_ERR2230101.xml	M_Ruminococcus_bicirculans_ERR2230101	Ruminococcus bicirculans	ERR2230101	38f28ecf9e3e64f843c8f39c27100484b238b5e78595439ca24726ac5523ea99	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bicirculans ERR2230101	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bromii_ATCC_27255.xml	M_Ruminococcus_bromii_ATCC_27255	Ruminococcus bromii	ATCC 27255	338a28e9613124af2d8cd577c4c4aaa80e6b0dc2370966bf00c670487c374e86	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bromii ATCC 27255	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bromii_ERR1022486.xml	M_Ruminococcus_bromii_ERR1022486	Ruminococcus bromii	ERR1022486	cc5bca260e58246477e7a13c16da71df27c965a0194d7778d3fc8accf89e94c6	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bromii ERR1022486	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bromii_ERR2221220.xml	M_Ruminococcus_bromii_ERR2221220	Ruminococcus bromii	ERR2221220	7cc86e2aa89b2efd6c4c6569d5c5f29d7f4eccdbade611057b027aa4c063400c	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bromii ERR2221220	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Ruminococcus_bromii_L2_63.xml	M_Ruminococcus_bromii_L2_63	Ruminococcus bromii	L2 63	7fd26f8efcf0978a446e473b4980d107bf59f96adf388f09bf22e4779863c6fe	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Ruminococcus bromii L2 63	c; e	automatic draft; verify species, strain, source, and redistribution before publication
