model_file	model_id	species	strain	sha256	source	redistributed
Eubacterium_rectale_ATCC_33656.xml	M_Eubacterium_rectale_ATCC_33656	Eubacterium rectale	ATCC 33656	7672d76c7e9cbd052045375836301470ea15c0a27196a39087604dc8567c2d73	AGORA2 v2.01 individual SBML; https://www.vmh.life/files/reconstructions/AGORA2/version2.01/sbml_files/individual_reconstructions/Eubacterium_rectale_ATCC_33656.xml	no
Eubacterium_rectale_DSM_17629.xml	M_Eubacterium_rectale_DSM_17629	Eubacterium rectale	DSM 17629	8f447836bfbae3a1add34756c9663e78802f5694a11e7e5ed70bd7d43a9d20e7	AGORA2 v2.01 individual SBML; https://www.vmh.life/files/reconstructions/AGORA2/version2.01/sbml_files/individual_reconstructions/Eubacterium_rectale_DSM_17629.xml	no
Ruminococcus_bicirculans_80_3.xml	M_Ruminococcus_bicirculans_80_3	Ruminococcus bicirculans	80 3	23ea1c7d605311640a61aefce3d8f16ecf3570470af391dfcc43a0f0702c0f27	AGORA2 v2.01 individual SBML; https://www.vmh.life/files/reconstructions/AGORA2/version2.01/sbml_files/individual_reconstructions/Ruminococcus_bicirculans_80_3.xml	no
Ruminococcus_bicirculans_ERR1022350.xml	M_Ruminococcus_bicirculans_ERR1022350	Ruminococcus bicirculans	ERR1022350	27e1b05b5d34deb5758dab23e2b4b26fd7636fa8cc6513c933ce9e77c6b3751a	AGORA2 v2.01 individual SBML; https://www.vmh.life/files/reconstructions/AGORA2/version2.01/sbml_files/individual_reconstructions/Ruminococcus_bicirculans_ERR1022350.xml	no
Ruminococcus_bromii_ATCC_27255.xml	M_Ruminococcus_bromii_ATCC_27255	Ruminococcus bromii	ATCC 27255	338a28e9613124af2d8cd577c4c4aaa80e6b0dc2370966bf00c670487c374e86	AGORA2 v2.01 individual SBML; https://www.vmh.life/files/reconstructions/AGORA2/version2.01/sbml_files/individual_reconstructions/Ruminococcus_bromii_ATCC_27255.xml	no
